age,annual_income,employment_type,years_employed,credit_score,existing_debt,loan_amount,loan_term,approval_status
59,40860,Employed,6,558,21962,180203,240,0
42,95311,Self-Employed,25,637,28693,263795,360,1
62,33431,Employed,29,656,31551,278538,60,0
41,231699,Employed,25,507,76552,73148,24,1
27,30787,Employed,17,523,11653,245181,48,1
38,127065,Employed,15,759,11534,45397,180,1
60,39276,Self-Employed,25,659,38044,53984,180,1
21,17027,Employed,7,691,13986,66858,12,0
62,62662,Employed,15,796,58148,278109,36,1
57,53773,Employed,13,537,25446,126626,360,0
46,63419,Employed,3,628,56044,203286,48,0
27,207845,Self-Employed,29,685,49080,114556,120,1
64,18627,Employed,24,579,1306,142848,48,0
23,61959,Employed,18,617,13545,170838,120,1
44,129353,Employed,1,574,26736,230281,24,1
43,78623,Self-Employed,20,695,50859,130657,120,1
24,34894,Self-Employed,23,685,23509,39698,12,1
26,55708,Self-Employed,18,647,34754,231814,36,1
27,48680,Employed,7,611,39384,52254,36,1
36,24208,Employed,11,561,20932,122796,180,0
55,156690,Employed,0,581,32711,272683,120,0
55,17557,Employed,17,673,11969,7869,36,0
61,78467,Employed,23,746,70271,261687,36,1
42,54373,Unemployed,26,691,30746,54377,60,0
48,22022,Self-Employed,18,797,7679,192563,60,0
61,58711,Unemployed,2,689,699,129019,60,1
53,59778,Unemployed,25,713,18070,61958,24,1
60,80328,Employed,9,541,19190,240362,24,0
33,62009,Self-Employed,13,673,55766,129046,24,1
43,68312,Employed,25,667,56661,36024,48,1
35,203632,Employed,11,576,66412,194407,48,1
55,21966,Unemployed,9,671,18077,227866,12,0
39,20177,Unemployed,22,828,18048,230913,12,0
52,45237,Employed,15,582,13500,34375,60,1
23,41679,Employed,13,719,26211,64101,60,1
30,29069,Employed,25,709,11922,276967,12,1
24,184704,Self-Employed,19,460,35195,9000,36,0
32,72320,Employed,28,778,38494,270517,24,1
55,38132,Self-Employed,8,845,26092,16338,240,1
41,67384,Employed,2,645,17955,75640,180,1
43,22357,Self-Employed,22,609,13584,115448,48,0
42,40698,Employed,8,676,24466,205968,180,0
51,45486,Employed,24,505,1167,294336,180,1
62,51174,Employed,22,676,8924,94930,24,0
29,57337,Employed,8,705,17924,93092,60,1
28,247504,Employed,6,737,37080,171981,36,1
59,65289,Employed,27,809,57799,161542,360,1
23,54683,Employed,24,697,33591,218920,120,1
64,27972,Employed,20,697,15761,22640,12,0
51,82356,Unemployed,24,655,7114,16023,240,1
44,15667,Employed,25,574,4964,132016,48,0
37,145284,Self-Employed,28,562,27532,170421,36,0
38,140990,Employed,29,642,27712,105497,12,1
46,96970,Self-Employed,1,621,75880,110570,12,1
26,58384,Unemployed,22,604,56397,43765,12,0
33,61949,Employed,7,712,58918,281633,24,1
23,205765,Employed,26,547,19758,20254,60,1
22,35914,Employed,1,623,8017,143013,36,0
58,71703,Self-Employed,18,746,55479,221464,12,1
44,67169,Employed,10,714,12015,50002,36,1
43,22350,Self-Employed,7,574,18271,33732,36,1
25,36969,Employed,0,817,16907,154849,24,1
46,29124,Employed,21,735,14178,223803,240,1
46,42125,Employed,26,587,5126,141194,180,1
38,63333,Employed,22,631,51128,55448,180,1
64,79056,Self-Employed,2,645,26734,31069,24,1
60,63275,Employed,19,742,10167,284404,120,1
53,67285,Employed,29,840,56138,266949,240,1
23,94324,Employed,1,729,117,117221,240,1
22,50954,Self-Employed,4,664,6469,69323,36,1
40,79051,Self-Employed,5,536,47362,287272,120,0
30,230937,Employed,1,676,34387,13512,60,1
29,67534,Self-Employed,16,695,42929,132309,60,1
29,214450,Self-Employed,27,714,5951,92388,240,1
57,178861,Employed,18,678,20611,153056,360,1
28,69287,Employed,22,850,18574,155168,12,1
22,76455,Employed,5,771,56819,272552,48,1
47,15419,Employed,22,561,2336,286173,24,0
30,86197,Employed,12,623,20103,69772,48,1
22,56478,Employed,4,552,5779,19153,240,1
28,205033,Employed,12,736,27306,175987,48,1
25,35260,Employed,25,556,20530,180399,360,0
43,112116,Self-Employed,21,602,53173,173502,36,1
41,147545,Employed,8,745,40738,185760,120,1
38,23666,Employed,18,697,5299,287100,240,1
49,19757,Employed,16,497,13395,24816,12,0
42,49916,Employed,12,513,33719,98501,12,1
50,22311,Self-Employed,17,458,6645,43000,24,0
24,52342,Employed,18,538,47190,218046,24,0
28,85368,Employed,21,825,31480,44986,12,1
28,74911,Self-Employed,10,622,66358,52057,180,0
53,60079,Self-Employed,0,544,23236,92955,24,0
32,54596,Employed,11,614,48285,24063,180,0
37,67856,Self-Employed,24,675,60774,28752,120,1
24,81401,Self-Employed,20,649,26657,233504,120,0
43,30988,Unemployed,5,785,29402,9263,24,0
